,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
305,2016,4,26,2016-04-26,15:55:00,1.75,38.99,-95.92,KTWX,26.857951856371272,2016-04-26 15:55:00,71.0,41.3,4.9375,1.7,-1.9375,0.96,0.2083333283662796,18044,3732,589,0.20681629260182877,0.15778194481650148,6.875,0
306,2018,9,20,2018-09-20,16:58:00,1.75,40.1,-98.53,KUEX,25.86939785566273,2018-09-20 16:58:00,69.5,40.6,4.9375,1.3,-1.9375,0.94,0.2083333283662796,39437,3576,196,0.09067396926821847,0.0547945205479452,6.875,0
307,2013,3,24,2013-03-24,12:15:00,1.0,36.5,-86.88,KOHX,42.127989898185525,2013-03-24 12:15:00,66.0,38.9,4.9375,1.7,-1.9375,0.98,0.2316666692495346,9424,1013,66,0.10748010610079575,0.0650887573964497,6.875,0
308,2018,4,6,2018-04-06,17:15:00,1.0,32.6983,-93.7405,KSHV,30.917940989557863,2018-04-06 17:15:00,68.0,42.4,4.9375,1.7,-1.9375,0.96,0.2083333283662796,34817,5728,418,0.1645126084209317,0.07296212253447373,6.875,0
309,2015,7,13,2015-07-13,15:50:00,1.5,41.8,-90.77,KDVN,27.75942865680988,2015-07-13 15:50:00,67.0,41.7,4.9375,2.5,-1.9375,0.95,0.2083333283662796,10263,1614,68,0.15724863600935307,0.042105263157894736,6.875,0
310,2014,10,1,2014-10-01,19:49:00,1.0,40.59,-98.39,KUEX,30.173091522734264,2014-10-01 19:49:00,73.5,41.4,4.9375,1.5,-1.9375,0.97,0.2083333283662796,6135,1307,352,0.2130052151238592,0.2691131498470948,6.875,0
311,2019,6,1,2019-06-01,15:02:00,1.5,39.07,-94.58,KEAX,41.66706728910066,2019-06-01 15:02:00,66.0,40.0,4.9375,2.2,-1.9375,0.96,0.2083333283662796,3670,473,33,0.12884772541541814,0.06962025316455696,6.875,0
312,2014,6,18,2014-06-18,18:25:00,1.0,38.24,-99.89,KDDC,53.73965493699447,2014-06-18 18:25:00,69.5,44.6,4.9375,2.0,-1.9375,0.96,0.2083333283662796,6454,1996,254,0.30921766072811774,0.1271907861792689,6.875,0
313,2019,9,28,2019-09-28,17:16:00,1.0,40.35,-80.14,KPBZ,20.36340325162029,2019-09-28 17:16:00,69.5,39.7,4.9375,1.4,-1.9375,0.98,0.2083333283662796,4134,530,65,0.12817412333736397,0.1224105461393597,6.875,0
314,2016,6,13,2016-06-13,19:13:00,1.0,35.49,-101.9,KAMA,34.57714974382787,2016-06-13 19:13:00,67.5,43.8,4.9375,2.0,-1.9375,0.97,0.2083333283662796,21607,5237,340,0.24236393928174751,0.0649102710958381,6.875,0
315,2019,7,2,2019-07-02,15:40:00,1.0,37.26,-79.8,KFCX,51.03700691431842,2019-07-02 15:40:00,61.5,41.0,4.875,2.0,-1.0,0.98,0.2516666650772095,3132,382,5,0.12192786466645388,0.013054830287206266,5.875,0
316,2016,5,9,2016-05-09,15:10:00,1.25,36.39,-98.05,KVNX,39.341549165016005,2016-05-09 15:10:00,67.0,40.5,4.9375,2.4,-1.9375,0.93,0.2083333283662796,7624,1087,87,0.14255737704918034,0.07996323529411764,6.875,0
